day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-1.4218092965609787E11,-3.3475191084301098E10,8334994.892882561
2,-2.104406365998044E11,-3.8331376776838806E10,8392730.654577369
3,-2.786550807512812E11,-4.317643271891953E10,8449926.496644845
4,-3.468481474619441E11,-4.801747365385011E10,8506946.322714172
5,-4.15028863519237E11,-5.2856549590625916E10,8563887.140404748
6,-4.832015540446262E11,-5.769448844660477E10,8620785.42253308
7,-5.51368616474668E11,-6.253169572800201E10,8677657.941605559
8,-6.195315156681783E11,-6.736839681198397E10,8734513.513749102
9,-6.876912113085868E11,-7.220472864179672E10,8791357.239699868
10,-7.558483659454133E11,-7.7040780119062E10,8848192.292122638
11,-8.240034560536674E11,-8.187661197786082E10,8905020.75911502
12,-8.921568356863777E11,-8.671226742370454E10,8961844.078514257
13,-9.603087750744426E11,-9.154777822027242E10,9018663.277586587
14,-1.0284594851347714E12,-9.638316836414886E10,9075479.113035401
15,-1.0966091336364001E12,-1.012184564041184E11,9132292.156748578
16,-1.164757856212999E12,-1.0605365696060875E11,9189102.850462364
17,-1.232905764074231E12,-1.1088878175325749E11,9245911.541827844
18,-1.3010529495358086E12,-1.1572384031512532E11,9302718.508925281
19,-1.3691994900687725E12,-1.2055884050109183E11,9359523.97736441
20,-1.4373454513194666E12,-1.2539378885740697E11,9416328.132488025
21,-1.505490889398907E12,-1.3022869089534683E11,9473131.128258413
22,-1.573635852643805E12,-1.3506355129723752E11,9529933.093845356
23,-1.641780382989076E12,-1.3989837407388052E11,9586734.138589194
24,-1.7099245170503235E12,-1.447331626864641E11,9643534.355794014
25,-1.778068286986844E12,-1.4956792014212497E11,9700333.825664759
26,-1.8462117211964646E12,-1.5440264906968726E11,9757132.617608488
27,-1.914354844880056E12,-1.5923735178030063E11,9813930.792056985
28,-1.9824976805039866E12,-1.6407203031644025E11,9870728.401924554
29,-2.0506402481818877E12,-1.6890668649184177E11,9927525.493784633
30,-2.1187825659920476E12,-1.7374132192430634E11,9984322.108827403
31,-2.1869246502430376E12,-1.7857593806284622E11,1.004111828364521E7
32,-2.255066515697378E12,-1.8341053621030038E11,1.0097914050881354E7
33,-2.323208175760954E12,-1.8824511754229572E11,1.015470943976961E7
34,-2.39134964264429E12,-1.9307968312323843E11,1.0211504476585679E7
35,-2.4594909275005503E12,-1.979142339198758E11,1.0268299185027111E7
36,-2.527632040544187E12,-2.027487708128568E11,1.0325093586534819E7
37,-2.595772991153401E12,-2.0758329460663553E11,1.0381887700566508E7
38,-2.6639137879589937E12,-2.124178060379934E11,1.0438681544830367E7
39,-2.7320544389217275E12,-2.1725230578340512E11,1.0495475135485679E7
40,-2.800194951399928E12,-2.2208679446543076E11,1.0552268487315785E7
41,-2.8683353322087715E12,-2.2692127265828476E11,1.0609061613877805E7
42,-2.9364755876724536E12,-2.3175574089270517E11,1.066585452763274E7
43,-3.0046157236702437E12,-2.3659019966022607E11,1.0722647240058942E7
44,-3.0727557456772617E12,-2.4142464941693878E11,1.0779439761751415E7
45,-3.14089565880069E12,-2.4625909058681323E11,1.0836232102509007E7
46,-3.2090354678120156E12,-2.5109352356463986E11,1.0893024271411194E7
47,-3.277175177175821E12,-2.5592794871864282E11,1.0949816276885927E7
48,-3.345314791075548E12,-2.6076236639280734E11,1.1006608126769729E7
49,-3.4134543134366196E12,-2.655967769089583E11,1.106339982836109E7
50,-3.481593747947228E12,-2.7043118056862082E11,1.1120191388468014E7
51,-3.549733098077073E12,-2.752655776546898E11,1.1176982813450482E7
52,-3.617872367094285E12,-2.800999684329319E11,1.123377410925845E7
53,-3.6860115580807417E12,-2.8493435315333856E11,1.1290565281465948E7
54,-3.754150673945956E12,-2.8976873205134924E11,1.1347356335301716E7
55,-3.822289717439695E12,-2.946031053489575E11,1.1404147275676832E7
56,-3.8904286911634624E12,-2.9943747325571466E11,1.1460938107209632E7
57,-3.95856759758097E12,-3.042718359696414E11,1.151772883424827E7
58,-4.026706439027699E12,-3.091061936780576E11,1.1574519460891152E7
59,-4.094845217719648E12,-3.1394054655833875E11,1.1631309991005484E7
60,-4.1629839357613438E12,-3.1877489477860693E11,1.1688100428244164E7
61,-4.2311225951531978E12,-3.236092384983628E11,1.174489077606115E7
62,-4.2992611977982593E12,-3.2844357786906445E11,1.180168103772549E7
63,-4.367399745508435E12,-3.332779130346588E11,1.1858471216334155E7
64,-4.435538240010216E12,-3.381122441320697E11,1.1915261314823773E7
65,-4.503676682949964E12,-3.429465712916469E11,1.1972051335981393E7
66,-4.571815075898793E12,-3.477808946375801E11,1.202884128245437E7
67,-4.63995342035709E12,-3.526152142882806E11,1.2085631156759439E7
68,-4.708091717758691E12,-3.57449530356734E11,1.214242096129109E7
69,-4.776229969474767E12,-3.6228384295082654E11,1.2199210698329268E7
70,-4.844368176817415E12,-3.6711815217364703E11,1.225600037004649E7
71,-4.912506341043012E12,-3.71952458123767E11,1.231278997851442E7
72,-4.980644463355317E12,-3.767867608955007E11,1.2369579525709946E7
73,-5.048782544908378E12,-3.8162106057914624E11,1.2426369013520818E7
74,-5.116920586809222E12,-3.864553572612107E11,1.2483158443750873E7
75,-5.185058590120384E12,-3.91289651024619E11,1.2539947818124877E7
76,-5.253196555862255E12,-3.96123941948909E11,1.2596737138293037E7
77,-5.321334485015282E12,-4.0095823011041315E11,1.2653526405835189E7
78,-5.389472378522027E12,-4.0579251558242847E11,1.2710315622264702E7
79,-5.457610237289095E12,-4.1062679843537537E11,1.2767104789032117E7
80,-5.525748062188937E12,-4.15461078736946E11,1.2823893907528535E7
81,-5.593885854061545E12,-4.202953565522432E11,1.2880682979088793E7
82,-5.662023613716046E12,-4.251296319439112E11,1.2937472004994422E7
83,-5.73016134193219E12,-4.299639049722573E11,1.2994260986476416E7
84,-5.798299039461762E12,-4.347981756953671E11,1.305104992471783E7
85,-5.8664367070298955E12,-4.3963244416921185E11,1.3107838820856208E7
86,-5.934574345336324E12,-4.4446671044775E11,1.3164627675985863E7
87,-6.002711955056552E12,-4.4930097458302246E11,1.3221416491160017E7
88,-6.070849536842957E12,-4.541352366252424E11,1.3278205267392807E7
89,-6.13898709132584E12,-4.589694966228796E11,1.333499400566118E7
90,-6.207124619114404E12,-4.638037546227405E11,1.3391782706906665E7
91,-6.27526212079769E12,-4.686380106700432E11,1.3448571372037046E7
92,-6.343399596945454E12,-4.734722648084886E11,1.350536000192794E7
93,-6.411537048109001E12,-4.7830651708032733E11,1.3562148597424278E7
94,-6.479674474821973E12,-4.8314076752642334E11,1.3618937159341712E7
95,-6.547811877601095E12,-4.879750161863139E11,1.367572568846793E7
96,-6.615949256946884E12,-4.928092630982663E11,1.373251418556391E7
97,-6.684086613344318E12,-4.976435082993316E11,1.3789302651365103E7
98,-6.752223947263476E12,-5.024777518253958E11,1.3846091086582541E7
99,-6.820361259160136E12,-5.07311993711228E11,1.39028794919039E7
100,-6.8884985494763545E12,-5.1214623399052637E11,1.3959667867994497E7
101,-6.956635818641012E12,-5.169804726959615E11,1.4016456215498239E7
102,-7.024773067070327E12,-5.2181470985921783E11,1.4073244535038523E7
103,-7.092910295168354E12,-5.266489455110331E11,1.4130032827219084E7
104,-7.16104750332745E12,-5.314831796812352E11,1.4186821092624804E7
105,-7.229184691928725E12,-5.3631741239877844E11,1.4243609331822483E7
106,-7.297321861342463E12,-5.411516436917766E11,1.4300397545361564E7
107,-7.365459011928532E12,-5.459858735875355E11,1.4357185733774828E7
108,-7.433596144036771E12,-5.508201021125837E11,1.4413973897579052E7
109,-7.501733258007358E12,-5.556543292927017E11,1.4470762037275638E7
110,-7.569870354171161E12,-5.604885551529493E11,1.4527550153351206E7
111,-7.638007432850077E12,-5.653227797176931E11,1.4584338246278167E7
112,-7.706144494357354E12,-5.701570030106311E11,1.4641126316515256E7
113,-7.774281538997895E12,-5.749912250548173E11,1.4697914364508059E7
114,-7.842418567068554E12,-5.798254458726844E11,1.4754702390689498E7
115,-7.910555578858417E12,-5.846596654860667E11,1.48114903954803E7
116,-7.978692574649071E12,-5.894938839162201E11,1.4868278379289445E7
117,-8.046829554714859E12,-5.943281011838434E11,1.49250663425146E7
118,-8.114966519323128E12,-5.991623173090969E11,1.4981854285542522E7
119,-8.183103468734463E12,-6.039965323116215E11,1.5038642208749447E7
120,-8.251240403202917E12,-6.088307462105554E11,1.5095430112501467E7
121,-8.319377322976225E12,-6.136649590245525E11,1.5152217997154882E7
122,-8.38751422829601E12,-6.184991707717972E11,1.520900586305655E7
123,-8.455651119397985E12,-6.23333381470021E11,1.5265793710544206E7
124,-8.5237879965121455E12,-6.28167591136517E11,1.5322581539946778E7
125,-8.591924859862949E12,-6.330017997881542E11,1.5379369351584684E7
126,-8.660061709669493E12,-6.378360074413915E11,1.5436157145770123E7
127,-8.728198546145687E12,-6.426702141122906E11,1.5492944922807349E7
128,-8.796335369500408E12,-6.47504419816529E11,1.5549732682992933E7
129,-8.864472179937668E12,-6.523386245694119E11,1.5606520426616019E7
130,-8.932608977656752E12,-6.571728283858837E11,1.5663308153958563E7
131,-9.000745762852373E12,-6.620070312805397E11,1.5720095865295568E7
132,-9.068882535714805E12,-6.668412332676368E11,1.5776883560895313E7
133,-9.137019296430016E12,-6.716754343611038E11,1.5833671241019554E7
134,-9.2051560451798E12,-6.76509634574551E11,1.5890458905923747E7
135,-9.273292782141906E12,-6.813438339212805E11,1.5947246555857232E7
136,-9.341429507490143E12,-6.861780324142952E11,1.6004034191063436E7
137,-9.409566221394508E12,-6.910122300663073E11,1.6060821811780047E7
138,-9.477702924021293E12,-6.958464268897474E11,1.6117609418239195E7
139,-9.545839615533191E12,-7.006806228967728E11,1.617439701066762E7
140,-9.6139762960894E12,-7.055148180992749E11,1.6231184589286838E7
141,-9.682112965845723E12,-7.103490125088875E11,1.6287972154313292E7
142,-9.750249624954658E12,-7.151832061369935E11,1.6344759705958512E7
143,-9.818386273565502E12,-7.200173989947332E11,1.6401547244429253E7
144,-9.88652291182443E12,-7.248515910930096E11,1.6458334769927641E7
145,-9.954659539874586E12,-7.296857824424966E11,1.6515122282651305E7
146,-1.0022796157856164E13,-7.345199730536443E11,1.6571909782793509E7
147,-1.0090932765906492E13,-7.393541629366857E11,1.6628697270543277E7
148,-1.0159069364160107E13,-7.441883521016426E11,1.6685484746085517E7
149,-1.022720595274883E13,-7.490225405583313E11,1.6742272209601134E7
150,-1.029534253180184E13,-7.538567283163682E11,1.6799059661267146E7
151,-1.0363479101445742E13,-7.586909153851753E11,1.685584710125679E7
152,-1.0431615661804637E13,-7.635251017739852E11,1.6912634529739637E7
153,-1.0499752213000186E13,-7.683592874918464E11,1.6969421946881674E7
154,-1.0567888755151676E13,-7.73193472547628E11,1.7026209352845427E7
155,-1.0636025288376078E13,-7.780276569500243E11,1.708299674779003E7
156,-1.070416181278811E13,-7.828618407075596E11,1.7139784131871346E7
157,-1.0772298328500291E13,-7.876960238285923E11,1.7196571505242024E7
158,-1.0840434835623002E13,-7.925302063213197E11,1.725335886805161E7
159,-1.0908571334264531E13,-7.973643881937815E11,1.731014622044662E7
160,-1.0976707824531137E13,-8.021985694538643E11,1.7366933562570613E7
161,-1.104484430652709E13,-8.07032750109305E11,1.7423720894564286E7
162,-1.1112980780354729E13,-8.118669301676953E11,1.748050821656553E7
163,-1.11811172461145E13,-8.167011096364843E11,1.7537295528709516E7
164,-1.124925370390501E13,-8.215352885229828E11,1.759408283112876E7
165,-1.131739015382307E13,-8.263694668343666E11,1.7650870123953193E7
166,-1.1385526595963738E13,-8.312036445776794E11,1.7707657407310225E7
167,-1.145366303042036E13,-8.360378217598368E11,1.7764444681324806E7
168,-1.152179945728461E13,-8.408719983876283E11,1.78212319461195E7
169,-1.1589935876646531E13,-8.457061744677213E11,1.7878019201814525E7
170,-1.1658072288594576E13,-8.505403500066637E11,1.793480644852783E7
171,-1.1726208693215643E13,-8.553745250108864E11,1.799159368637515E7
172,-1.1794345090595107E13,-8.602086994867065E11,1.8048380915470038E7
173,-1.1862481480816865E13,-8.650428734403301E11,1.8105168135923944E7
174,-1.1930617863963361E13,-8.698770468778542E11,1.816195534784626E7
175,-1.1998754240115623E13,-8.747112198052699E11,1.8218742551344357E7
176,-1.2066890609353295E13,-8.795453922284645E11,1.8275529746523652E7
177,-1.2135026971754668E13,-8.84379564153224E11,1.833231693348764E7
178,-1.2203163327396713E13,-8.892137355852355E11,1.8389104112337943E7
179,-1.2271299676355107E13,-8.940479065300891E11,1.8445891283174362E7
180,-1.2339436018704264E13,-8.988820769932805E11,1.8502678446094915E7
181,-1.2407572354517357E13,-9.037162469802129E11,1.855946560119587E7
182,-1.247570868386636E13,-9.085504164961991E11,1.8616252748571802E7
183,-1.2543845006822055E13,-9.133845855464635E11,1.8673039888315614E7
184,-1.2611981323454072E13,-9.18218754136144E11,1.8729827020518593E7
185,-1.2680117633830912E13,-9.230529222702941E11,1.8786614145270437E7
186,-1.2748253938019967E13,-9.278870899538844E11,1.8843401262659293E7
187,-1.2816390236087543E13,-9.327212571918048E11,1.890018837277179E7
188,-1.288452652809889E13,-9.375554239888658E11,1.8956975475693073E7
189,-1.2952662814118219E13,-9.423895903498008E11,1.9013762571506843E7
190,-1.3020799094208723E13,-9.47223756279267E11,1.9070549660295382E7
191,-1.3088935368432602E13,-9.520579217818475E11,1.912733674213959E7
192,-1.3157071636851084E13,-9.568920868620531E11,1.9184123817119002E7
193,-1.3225207899524441E13,-9.61726251524323E11,1.9240910885311842E7
194,-1.3293344156512014E13,-9.665604157730271E11,1.9297697946795024E7
195,-1.3361480407872225E13,-9.71394579612467E11,1.9354485001644205E7
196,-1.3429616653662604E13,-9.762287430468777E11,1.9411272049933795E7
197,-1.3497752893939803E13,-9.810629060804286E11,1.946805909173699E7
198,-1.3565889128759611E13,-9.858970687172251E11,1.95248461271258E7
199,-1.3634025358176979E13,-9.9073123096131E11,1.958163315617107E7
200,-1.3702161582246027E13,-9.955653928166646E11,1.96384201789425E7
201,-1.377029780102007E13,-1.0003995542872097E12,1.969520719550869E7
202,-1.3838434014551629E13,-1.0052337153768075E12,1.9751994205937132E7
203,-1.3906570222892445E13,-1.0100678760892621E12,1.9808781210294265E7
204,-1.3974706426093498E13,-1.0149020364283209E12,1.9865568208645467E7
205,-1.4042842624205023E13,-1.0197361963976759E12,1.9922355201055102E7
206,-1.411097881727652E13,-1.0245703560009645E12,1.9979142187586524E7
207,-1.4179115005356768E13,-1.0294045152417705E12,2.00359291683021E7
208,-1.4247251188493846E13,-1.0342386741236257E12,2.0092716143263243E7
209,-1.4315387366735139E13,-1.0390728326500104E12,2.0149503112530414E7
210,-1.4383523540127354E13,-1.0439069908243544E12,2.0206290076163154E7
211,-1.4451659708716533E13,-1.0487411486500382E12,2.0263077034220092E7
212,-1.4519795872548066E13,-1.0535753061303938E12,2.031986398675897E7
213,-1.4587932031666703E13,-1.0584094632687058E12,2.037665093383666E7
214,-1.4656068186116562E13,-1.063243620068212E12,2.0433437875509184E7
215,-1.472420433594115E13,-1.0680777765321047E12,2.049022481183172E7
216,-1.4792340481183363E13,-1.072911932663531E12,2.0547011742858626E7
217,-1.4860476621885508E13,-1.077746088465594E12,2.060379866864346E7
218,-1.4928612758089305E13,-1.0825802439413538E12,2.0660585589238983E7
219,-1.4996748889835902E13,-1.0874143990938276E12,2.071737250469719E7
220,-1.5064885017165889E13,-1.0922485539259916E12,2.077415941506931E7
221,-1.5133021140119299E13,-1.0970827084407804E12,2.0830946320405837E7
222,-1.5201157258735625E13,-1.1019168626410889E12,2.0887733220756523E7
223,-1.5269293373053828E13,-1.1067510165297725E12,2.094452011617041E7
224,-1.5337429483112348E13,-1.111585170109648E12,2.1001307006695833E7
225,-1.540556558894911E13,-1.1164193233834937E12,2.1058093892380442E7
226,-1.5473701690601533E13,-1.121253476354051E12,2.1114880773271207E7
227,-1.5541837788106543E13,-1.1260876290240247E12,2.1171667649414428E7
228,-1.560997388150058E13,-1.1309217813960833E12,2.1228454520855762E7
229,-1.5678109970819604E13,-1.13575593347286E12,2.128524138764022E7
230,-1.5746246056099105E13,-1.1405900852569536E12,2.1342028249812186E7
231,-1.5814382137374115E13,-1.1454242367509282E12,2.1398815107415427E7
232,-1.5882518214679207E13,-1.1502583879573145E12,2.1455601960493103E7
233,-1.5950654288048512E13,-1.1550925388786104E12,2.151238880908778E7
234,-1.601879035751572E13,-1.1599266895172812E12,2.156917565324144E7
235,-1.6086926423114094E13,-1.1647608398757607E12,2.1625962492995493E7
236,-1.6155062484876469E13,-1.1695949899564512E12,2.168274932839078E7
237,-1.6223198542835268E13,-1.174429139761724E12,2.1739536159467597E7
238,-1.62913345970225E13,-1.179263289293921E12,2.1796322986265685E7
239,-1.6359470647469775E13,-1.1840974385553528E12,2.1853109808824264E7
240,-1.6427606694208309E13,-1.1889315875483025E12,2.1909896627182018E7
241,-1.6495742737268924E13,-1.1937657362750234E12,2.1966683441377122E7
242,-1.6563878776682062E13,-1.198599884737741E12,2.2023470251447245E7
243,-1.663201481247779E13,-1.2034340329386526E12,2.2080257057429556E7
244,-1.67001508446858E13,-1.2082681808799287E12,2.2137043859360732E7
245,-1.6768286873335426E13,-1.2131023285637124E12,2.2193830657276973E7
246,-1.6836422898455639E13,-1.2179364759921208E12,2.2250617451214008E7
247,-1.6904558920075059E13,-1.222770623167245E12,2.23074042412071E7
248,-1.697269493822196E13,-1.2276047700911504E12,2.2364191027291056E7
249,-1.7040830952924277E13,-1.232438916765877E12,2.2420977809500232E7
250,-1.7108966964209604E13,-1.2372730631934402E12,2.2477764587868545E7
251,-1.7177102972105207E13,-1.242107209375831E12,2.2534551362429474E7
252,-1.7245238976638027E13,-1.246941355315017E12,2.259133813321608E7
253,-1.7313374977834688E13,-1.2517755010129417E12,2.2648124900260996E7
254,-1.7381510975721494E13,-1.256609646471525E12,2.2704911663596448E7
255,-1.7449646970324443E13,-1.2614437916926648E12,2.2761698423254255E7
256,-1.7517782961669229E13,-1.266277936678236E12,2.2818485179265834E7
257,-1.7585918949781238E13,-1.2711120814300918E12,2.2875271931662217E7
258,-1.765405493468557E13,-1.275946225950063E12,2.293205868047404E7
259,-1.7722190916407027E13,-1.2807803702399595E12,2.2988845425731566E7
260,-1.779032689497013E13,-1.2856145143015698E12,2.3045632167464685E7
261,-1.785846287039911E13,-1.290448658136662E12,2.310241890570292E7
262,-1.7926598842717926E13,-1.2952828017469834E12,2.3159205640475422E7
263,-1.799473481195026E13,-1.3001169451342612E12,2.3215992371811002E7
264,-1.8062870778119535E13,-1.304951088300203E12,2.327277909973811E7
265,-1.8131006741248895E13,-1.309785231246496E12,2.332956582428485E7
266,-1.8199142701361227E13,-1.3146193739748098E12,2.3386352545479E7
267,-1.826727865847916E13,-1.3194535164867935E12,2.344313926334799E7
268,-1.8335414612625074E13,-1.3242876587840784E12,2.349992597791893E7
269,-1.8403550563821094E13,-1.329121800868277E12,2.3556712689218603E7
270,-1.8471686512089098E13,-1.3339559427409841E12,2.3613499397273473E7
271,-1.8539822457450727E13,-1.3387900844037764E12,2.3670286102109697E7
272,-1.860795839992738E13,-1.343624225858213E12,2.3727072803753115E7
273,-1.867609433954022E13,-1.3484583671058357E12,2.3783859502229266E7
274,-1.8744230276310176E13,-1.3532925081481694E12,2.3840646197563395E7
275,-1.8812366210257953E13,-1.3581266489867222E12,2.3897432889780447E7
276,-1.888050214140403E13,-1.3629607896229854E12,2.395421957890508E7
277,-1.8948638069768664E13,-1.3677949300584343E12,2.401100626496166E7
278,-1.9016773995371887E13,-1.372629070294528E12,2.4067792947974283E7
279,-1.908490991823352E13,-1.3774632103327097E12,2.412457962796676E7
280,-1.915304583837317E13,-1.382297350174407E12,2.4181366304962635E7
281,-1.9221181755810242E13,-1.387131489821032E12,2.423815297898517E7
282,-1.928931767056392E13,-1.391965629273982E12,2.4294939650057383E7
283,-1.93574535826532E13,-1.396799768534639E12,2.435172631820201E7
284,-1.9425589492096863E13,-1.4016339076043704E12,2.440851298344155E7
285,-1.9493725398913504E13,-1.406468046484529E12,2.4465299645798232E7
286,-1.956186130312151E13,-1.4113021851764534E12,2.4522086305294048E7
287,-1.962999720473909E13,-1.4161363236814678E12,2.4578872961950734E7
288,-1.969813310378425E13,-1.4209704620008826E12,2.4635659615789793E7
289,-1.9766269000274816E13,-1.4258046001359946E12,2.4692446266832486E7
290,-1.983440489422843E13,-1.4306387380880872E12,2.4749232915099837E7
291,-1.990254078566255E13,-1.43547287585843E12,2.4806019560612638E7
292,-1.9970676674594453E13,-1.4403070134482798E12,2.486280620339146E7
293,-2.0038812561041242E13,-1.4451411508588801E12,2.4919592843456637E7
294,-2.010694844501984E13,-1.449975288091462E12,2.4976379480828293E7
295,-2.0175084326547004E13,-1.4548094251472434E12,2.5033166115526322E7
296,-2.0243220205639316E13,-1.4596435620274304E12,2.5089952747570414E7
297,-2.031135608231319E13,-1.4644776987332163E12,2.514673937698004E7
298,-2.0379491956584883E13,-1.4693118352657825E12,2.520352600377446E7
299,-2.044762782847048E13,-1.4741459716262983E12,2.5260312627972733E7
300,-2.0515763697985906E13,-1.4789801078159214E12,2.531709924959371E7
301,-2.058389956514693E13,-1.4838142438357976E12,2.537388586865604E7
302,-2.0652035429969164E13,-1.4886483796870613E12,2.543067248517818E7
303,-2.0720171292468062E13,-1.4934825153708357E12,2.548745909917839E7
304,-2.078830715265893E13,-1.498316650888233E12,2.554424571067473E7
305,-2.0856443010556918E13,-1.5031507862403535E12,2.560103231968508E7
306,-2.0924578866177027E13,-1.5079849214282878E12,2.5657818926227126E7
307,-2.099271471953412E13,-1.512819056453115E12,2.5714605530318376E7
308,-2.1060850570642906E13,-1.5176531913159036E12,2.577139213197615E7
309,-2.1128986419517957E13,-1.522487326017712E12,2.5828178731217593E7
310,-2.11971222661737E13,-1.5273214605595876E12,2.5884965328059666E7
311,-2.126525811062442E13,-1.5321555949425686E12,2.5941751922519162E7
312,-2.1333393952884273E13,-1.5369897291676824E12,2.5998538514612697E7
313,-2.1401529792967273E13,-1.5418238632359465E12,2.605532510435672E7
314,-2.14696656308873E13,-1.5466579971483691E12,2.611211169176751E7
315,-2.1537801466658105E13,-1.5514921309059482E12,2.6168898276861183E7
316,-2.1605937300293305E13,-1.5563262645096724E12,2.622568485965369E7
317,-2.1674073131806387E13,-1.5611603979605208E12,2.6282471440160815E7
318,-2.1742208961210715E13,-1.5659945312594631E12,2.6339258018398196E7
319,-2.1810344788519527E13,-1.5708286644074602E12,2.6396044594381303E7
320,-2.1878480613745934E13,-1.5756627974054636E12,2.6452831168125458E7
321,-2.194661643690292E13,-1.580496930254416E12,2.6509617739645824E7
322,-2.2014752258003363E13,-1.585331062955251E12,2.6566404308957417E7
323,-2.2082888077060004E13,-1.5901651955088936E12,2.6623190876075104E7
324,-2.2151023894085477E13,-1.5949993279162603E12,2.66799774410136E7
325,-2.221915970909229E13,-1.5998334601782588E12,2.6736764003787484E7
326,-2.2287295522092844E13,-1.6046675922957886E12,2.6793550564411186E7
327,-2.2355431333099426E13,-1.6095017242697407E12,2.6850337122898996E7
328,-2.2423567142124207E13,-1.614335856100998E12,2.6907123679265063E7
329,-2.2491702949179246E13,-1.6191699877904353E12,2.69639102335234E7
330,-2.2559838754276492E13,-1.6240041193389192E12,2.7020696785687882E7
331,-2.2627974557427793E13,-1.6288382507473086E12,2.7077483335772254E7
332,-2.269611035864488E13,-1.6336723820164543E12,2.713426988379012E7
333,-2.2764246157939383E13,-1.6385065131472E12,2.7191056429754965E7
334,-2.283238195532283E13,-1.6433406441403809E12,2.724784297368014E7
335,-2.2900517750806637E13,-1.6481747749968252E12,2.730462951557886E7
336,-2.296865354440213E13,-1.6530089057173535E12,2.7361416055464223E7
337,-2.3036789336120523E13,-1.657843036302779E12,2.7418202593349203E7
338,-2.3104925125972938E13,-1.6626771667539077E12,2.747498912924665E7
339,-2.317306091397039E13,-1.6675112970715386E12,2.7531775663169287E7
340,-2.324119670012381E13,-1.6723454272564631E12,2.7588562195129726E7
341,-2.330933248444402E13,-1.677179557309466E12,2.7645348725140456E7
342,-2.3377468266941754E13,-1.682013687231325E12,2.770213525321385E7
343,-2.344560404762765E13,-1.6868478170228108E12,2.775892177936216E7
344,-2.351373982651225E13,-1.6916819466846877E12,2.7815708303597532E7
345,-2.358187560360601E13,-1.6965160762177131E12,2.7872494825932E7
346,-2.3650011378919293E13,-1.7013502056226377E12,2.7929281346377477E7
347,-2.371814715246237E13,-1.7061843349002056E12,2.7986067864945777E7
348,-2.3786282924245426E13,-1.7110184640511545E12,2.8042854381648596E7
349,-2.385441869427856E13,-1.715852593076216E12,2.8099640896497533E7
350,-2.3922554462571777E13,-1.7206867219761152E12,2.815642740950407E7
351,-2.3990690229135004E13,-1.7255208507515708E12,2.8213213920679595E7
352,-2.4058825993978082E13,-1.7303549794032954E12,2.8270000430035383E7
353,-2.4126961757110766E13,-1.7351891079319956E12,2.8326786937582612E7
354,-2.4195097518542727E13,-1.7400232363383718E12,2.838357344333236E7
355,-2.426323327828356E13,-1.7448573646231187E12,2.84403599472956E7
356,-2.433136903634277E13,-1.7496914927869248E12,2.849714644948321E7
357,-2.439950479272979E13,-1.754525620830473E12,2.855393294990597E7
358,-2.4467640547453973E13,-1.75935974875444E12,2.8610719448574565E7
359,-2.453577630052459E13,-1.7641938765594973E12,2.8667505945499584E7
360,-2.460391205195084E13,-1.7690280042463108E12,2.8724292440691523E7
361,-2.467204780174184E13,-1.7738621318155405E12,2.878107893416078E7
362,-2.4740183549906633E13,-1.778696259267841E12,2.883786542591767E7
363,-2.4808319296454188E13,-1.7835303866038616E12,2.8894651915972408E7
364,-2.48764550413934E13,-1.7883645138242456E12,2.8951438404335123E7
365,-2.494459078473309E13,-1.7931986409296318E12,2.9008224891015857E7
366,-2.496162472017032E13,-1.7944071726773872E12,2.9022421512268033E7
